SchoolCode,SchoolName,DistrictCode,CountyName,District,GSserved,Virtual,SOC,VirtStat,TA,SG_SD,SG_DS,ChronicAbsenteeismCount,chronicabsenteeismrate,Cnty_Sch_Cnt,ENR_decile,ENR_quartile,Rate_Sped,Rate_LI
0133645,Arroyo,69021,San Mateo,San Carlos Elementary,4-5,N,60,0,294.0,34.0,20.0,5.0,1.7,143,2,1,6.802721088435375,11.564625850340136
0135053,Richard Crane Elementary,73882,Sonoma,Cotati-Rohnert Park Unified,K-5,N,60,0,294.0,192.0,55.0,30.0,10.4,103,2,1,18.70748299319728,65.3061224489796
6005508,Gold Oak Elementary,61879,El Dorado,Gold Oak Union Elementary,K-5,N,60,0,294.0,130.0,70.0,61.0,21.2,48,2,1,23.809523809523807,44.21768707482993
6095350,Summerdale Elementary,69377,Santa Clara,Berryessa Union Elementary,K-5,N,60,0,294.0,132.0,25.0,31.0,10.8,319,2,1,8.503401360544217,44.89795918367347
6048896,Kathryn Hughes Elementary,69674,Santa Clara,Santa Clara Unified,K-5,N,60,0,294.0,144.0,59.0,45.0,15.7,319,2,1,20.068027210884352,48.97959183673469
0730291,Middle College High,61796,Contra Costa,West Contra Costa Unified,9-12,C,66,0,294.0,195.0,0.0,8.0,2.7,223,2,1,0.0,66.3265306122449
6019343,"Stonehurst Avenue Elementary School Science, Technology, Engineering, Arts and Math Magnet",64733,Los Angeles,Los Angeles Unified,K-5,N,60,0,294.0,244.0,62.0,70.0,24.0,1598,2,1,21.08843537414966,82.99319727891157
6014252,Lassalette,73445,Los Angeles,Hacienda la Puente Unified,K-5,N,60,0,294.0,256.0,67.0,74.0,25.8,1598,2,1,22.789115646258505,87.07482993197279
6023949,Dixieland Elementary,65243,Madera,Madera Unified,K-8,N,60,0,295.0,279.0,22.0,65.0,22.7,57,2,1,7.457627118644068,94.57627118644068
5732904,Esparto High,72686,Yolo,Esparto Unified,9-12,N,66,0,295.0,242.0,38.0,72.0,24.7,44,2,1,12.88135593220339,82.03389830508473
6018055,Marianna Avenue Elementary,64733,Los Angeles,Los Angeles Unified,K-6,N,60,0,295.0,269.0,73.0,81.0,27.8,1598,2,1,24.74576271186441,91.18644067796609
6016661,Crestwood Street STEAM Magnet,64733,Los Angeles,Los Angeles Unified,K-5,N,60,0,295.0,217.0,57.0,50.0,17.1,1598,2,1,19.322033898305087,73.5593220338983
6113526,Cedarwood Elementary,61531,Butte,Paradise Unified,K-6,N,60,0,296.0,258.0,75.0,81.0,28.3,56,2,1,25.33783783783784,87.16216216216216
0128330,University Elementary at La Fiesta,73882,Sonoma,Cotati-Rohnert Park Unified,K-5,N,60,0,296.0,163.0,59.0,50.0,17.1,103,2,1,19.93243243243243,55.067567567567565
0122887,Woodrow Wallace Middle,63545,Kern,Kernville Union Elementary,6-8,N,62,0,296.0,248.0,75.0,107.0,37.2,250,2,1,25.33783783783784,83.78378378378379
3634169,Needles High,67801,San Bernardino,Needles Unified,9-12,C,66,0,296.0,237.0,48.0,76.0,26.4,498,2,1,16.216216216216218,80.06756756756756
6070825,Los Altos Elementary,68023,San Diego,Chula Vista Elementary,K-6,N,60,0,296.0,248.0,78.0,25.0,8.7,569,2,1,26.351351351351347,83.78378378378379
6048870,George Mayne Elementary,69674,Santa Clara,Santa Clara Unified,K-5,N,60,0,296.0,164.0,44.0,37.0,12.9,319,2,1,14.864864864864865,55.4054054054054
6041255,Muir (John) Elementary,68478,San Francisco,San Francisco Unified,K-5,N,60,0,296.0,232.0,62.0,99.0,35.1,95,2,1,20.945945945945947,78.37837837837837
6047161,O. B. Whaley Elementary,69435,Santa Clara,Evergreen Elementary,K-6,N,60,0,296.0,228.0,47.0,79.0,27.6,319,2,1,15.878378378378377,77.02702702702703
0118729,Williams Upper Elementary,61622,Colusa,Williams Unified,4-6,N,60,0,297.0,276.0,59.0,48.0,16.2,13,2,1,19.865319865319865,92.92929292929293
6053037,Salida Elementary,71266,Stanislaus,Salida Union Elementary,K-5,N,60,0,297.0,279.0,33.0,20.0,6.9,151,2,1,11.11111111111111,93.93939393939394
6048235,El Carmelo Elementary,69641,Santa Clara,Palo Alto Unified,K-5,N,60,0,297.0,64.0,53.0,25.0,8.5,319,2,1,17.845117845117844,21.548821548821547
6090211,Emerson Elementary,61143,Alameda,Berkeley Unified,K-5,N,60,0,297.0,96.0,30.0,46.0,15.6,296,2,1,10.1010101010101,32.323232323232325
6008213,Redway Elementary,63040,Humboldt,Southern Humboldt Joint Unified,K-6,N,60,0,297.0,246.0,55.0,132.0,45.4,71,2,1,18.51851851851852,82.82828282828282
6108500,Albert F. Biella Elementary,70912,Sonoma,Santa Rosa Elementary,K-6,N,60,0,298.0,276.0,99.0,89.0,30.2,103,2,1,33.22147651006711,92.61744966442953
